split,sample_idx,target_poi_id,target_epoch,bucket,positive_unique_count,parsed_ok,note
train,0,693,1339394749,7,0,True,
train,1,3545,1341406814,2,0,True,
train,2,212,1334402107,7,0,True,
train,3,3545,1335072807,6,0,True,
train,4,3544,1336792738,2,0,True,
train,5,3824,1337228002,0,0,True,
train,6,939,1338444616,1,0,True,
train,7,3544,1339212159,2,0,True,
train,8,348,1339567276,3,10,True,
train,9,348,1341290121,0,5,True,
train,10,1485,1341555515,1,0,True,
train,11,3544,1336187271,2,0,True,
train,12,374,1338198175,2,0,True,
train,13,1883,1339065760,2,0,True,
train,14,4049,1339562036,3,0,True,
train,15,983,1340768697,3,0,True,
train,16,341,1341657922,3,0,True,
train,17,4686,1352208050,2,0,True,
train,18,4049,1334844607,2,0,True,
train,19,381,1335095950,4,0,True,
train,20,584,1335316997,3,1,True,
train,21,1189,1342868560,3,0,True,
train,22,3886,1343469335,3,1,True,
train,23,1093,1344761245,7,0,True,
train,24,739,1344944141,3,1,True,
train,25,1093,1345279243,3,1,True,
train,26,3886,1346846351,3,1,True,
train,27,1632,1347620693,3,1,True,
train,28,739,1351162736,3,1,True,
train,29,1189,1351399625,6,0,True,
train,30,1828,1341061199,7,0,True,
train,31,3886,1341311705,3,0,True,
train,32,1093,1342173616,2,1,True,
train,33,739,1342609281,3,1,True,
train,34,964,1336175799,1,0,True,
train,35,1569,1336353144,0,0,True,
train,36,356,1336789171,2,3,True,
train,37,1320,1337042509,0,0,True,
train,38,356,1337404203,3,6,True,
train,39,3322,1337646603,1,0,True,
train,40,4309,1338251612,0,0,True,
train,41,4049,1338814402,0,0,True,
train,42,3322,1339113657,0,0,True,
train,43,4049,1341629449,4,0,True,
train,44,4472,1341802116,0,0,True,
train,45,4599,1342150970,1,0,True,
train,46,4599,1343633015,0,0,True,
train,47,2941,1347513161,0,0,True,
train,48,4049,1350953356,0,0,True,
train,49,4472,1334884068,0,0,True,
train,50,3322,1335138814,6,0,True,
train,51,4049,1335526205,0,0,True,
train,52,1513,1344549239,3,0,True,
train,53,1121,1335090331,4,0,True,
train,54,1513,1351203324,3,0,True,
train,55,1467,1336106120,0,0,True,
train,56,4454,1336370222,6,1,True,
train,57,2184,1336736824,1,0,True,
train,58,1467,1336971180,6,2,True,
train,59,81,1341561000,3,0,True,
train,60,1161,1341815913,7,0,True,
train,61,356,1342087947,0,12,True,
train,62,232,1334462358,6,2,True,
train,63,3793,1334993923,5,0,True,
train,64,3988,1336057250,1,0,True,
train,65,1323,1339323171,7,0,True,
train,66,995,1341396468,2,0,True,
train,67,799,1334480173,4,0,True,
train,68,3192,1335313369,0,0,True,
train,69,3690,1342463188,3,0,True,
train,70,500,1338294616,3,0,True,
train,71,349,1338512417,3,0,True,
train,72,404,1338821050,3,4,True,
train,73,405,1341803477,0,1,True,
train,74,3690,1342025341,3,0,True,
train,75,3373,1333580668,3,0,True,
train,76,2393,1336560853,3,0,True,
train,77,3000,1336778101,4,0,True,
train,78,2095,1337410988,4,1,True,
train,79,3373,1337643867,0,0,True,
train,80,3090,1337955236,2,1,True,
train,81,2095,1338171728,7,0,True,
train,82,3373,1338849566,3,0,True,
train,83,2009,1339584318,3,0,True,
train,84,2009,1342439327,0,0,True,
train,85,4971,1351424709,7,2,True,
train,86,2009,1334480375,5,0,True,
train,87,3000,1335222524,3,0,True,
train,88,3373,1335394243,3,0,True,
train,89,2009,1335691482,5,0,True,
train,90,2009,1336295969,6,0,True,
train,91,3522,1351406554,5,0,True,
train,92,4759,1352264374,1,0,True,
train,93,4759,1352446289,1,0,True,
train,94,234,1333580926,2,1,True,
train,95,249,1335674933,5,0,True,
train,96,234,1336190494,4,1,True,
train,97,234,1336561704,0,3,True,
train,98,234,1336956684,0,4,True,
train,99,234,1337418527,4,1,True,
train,100,234,1337638568,2,3,True,
train,101,234,1337934086,1,2,True,
train,102,234,1333836980,6,1,True,
train,103,1467,1338290588,1,1,True,
train,104,234,1339027581,2,4,True,
train,105,234,1339628238,2,4,True,
train,106,234,1340059187,1,2,True,
train,107,3190,1340246345,3,1,True,
train,108,234,1341549131,1,2,True,
train,109,234,1341793534,6,5,True,
train,110,234,1334185122,1,1,True,
train,111,1852,1342225144,4,1,True,
train,112,3190,1342588413,3,1,True,
train,113,3190,1343626375,0,1,True,
train,114,234,1344212088,6,5,True,
train,115,234,1344930335,0,5,True,
train,116,3190,1345268674,4,1,True,
train,117,234,1347700660,4,1,True,
train,118,234,1334534219,6,3,True,
train,119,234,1350945106,3,3,True,
train,120,234,1351338894,4,1,True,
train,121,234,1352412450,0,5,True,
train,122,234,1334876820,3,1,True,
train,123,234,1335068104,4,1,True,
train,124,234,1335397414,2,2,True,
train,125,1171,1335689557,6,1,True,
train,126,163,1336303258,7,0,True,
train,127,4790,1336841231,7,0,True,
train,128,2662,1337391175,3,0,True,
train,129,724,1343480909,6,0,True,
train,130,163,1344492118,0,0,True,
train,131,4344,1344773221,7,1,True,
train,132,553,1347723829,6,0,True,
train,133,350,1333866278,5,0,True,
train,134,3697,1334239715,3,0,True,
train,135,2246,1334540770,6,0,True,
train,136,1286,1334798776,0,1,True,
train,137,1687,1333506684,3,0,True,
train,138,1667,1335397084,1,0,True,
train,139,2587,1336561908,0,0,True,
train,140,2587,1337181501,2,0,True,
train,141,1667,1338256158,0,0,True,
train,142,1974,1339209391,7,0,True,
train,143,2587,1339600782,3,0,True,
train,144,1974,1340762149,0,0,True,
train,145,1687,1334629878,1,0,True,
train,146,1687,1334901517,3,0,True,
train,147,3419,1333465126,3,1,True,
train,148,3041,1337167142,2,0,True,
train,149,3170,1339952084,7,0,True,
train,150,4255,1335333492,3,1,True,
train,151,4255,1336543358,2,0,True,
train,152,356,1337939172,2,3,True,
